nama_item,jenis_item,lokasi_penyimpanan,hari_sejak_pembelian,sisa_hari,label,cara_simpan
Semangka Kuning,Buah Tropis,Suhu Ruang,6,3.2,Segar,Letakkan Semangka Kuning di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Blackberry,Buah Beri,Pendingin,4,8.3,Segar,Bungkus Blackberry dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Anggur Hitam,Buah Iklim Sedang,Pembeku,30,30.7,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Anggur Hitam tetap awet.
Kol Ungu,Sayuran Hijau,Pembeku,39,-8.1,Kedaluwarsa,Pastikan Kol Ungu sudah bersih dan kering sebelum dibekukan di freezer.
Paprika Merah,Cabai & Paprika,Pembeku,54,38.1,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Paprika Merah tetap awet.
Jeruk Nipis,Buah Sitrus,Suhu Ruang,19,-2.2,Kedaluwarsa,Simpan Jeruk Nipis di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Stroberi Lokal Ciwidey,Buah Beri,Pendingin,0,1.8,Segera,Gunakan wadah tertutup saat menyimpan Stroberi Lokal Ciwidey di rak kulkas.
Bawang Putih Kating,Sayuran Akar,Pembeku,42,44.3,Segar,Pastikan Bawang Putih Kating sudah bersih dan kering sebelum dibekukan di freezer.
Bit Merah,Sayuran Akar,Suhu Ruang,5,14.8,Segar,Simpan Bit Merah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Jeruk Keprok,Buah Sitrus,Suhu Ruang,17,-0.9,Kedaluwarsa,Pastikan Jeruk Keprok berada di area kering agar tidak cepat lembap dan busuk.
Jeruk Mandarin,Buah Sitrus,Suhu Ruang,5,0.2,Segera,Pastikan Jeruk Mandarin berada di area kering agar tidak cepat lembap dan busuk.
Lemon Lokal,Buah Sitrus,Suhu Ruang,10,-0.7,Kedaluwarsa,Simpan Lemon Lokal di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Brokoli Impor,Sayuran Hijau,Pendingin,6,-0.3,Kedaluwarsa,Bungkus Brokoli Impor dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Anggur Hitam,Buah Iklim Sedang,Pembeku,2,54.9,Segar,Pastikan Anggur Hitam sudah bersih dan kering sebelum dibekukan di freezer.
Lemon Impor,Buah Sitrus,Suhu Ruang,2,3.5,Segar,Letakkan Lemon Impor di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Kiwi Hijau,Buah Iklim Sedang,Suhu Ruang,9,0.4,Segera,Letakkan Kiwi Hijau di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Kol Putih,Sayuran Hijau,Pendingin,7,6.4,Segar,Bungkus Kol Putih dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Pear Century,Buah Iklim Sedang,Pembeku,50,15.9,Segar,Simpan Pear Century dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Persik,Buah Iklim Sedang,Suhu Ruang,0,12.4,Segar,Pastikan Persik berada di area kering agar tidak cepat lembap dan busuk.
Jeruk Purut,Buah Sitrus,Pembeku,60,33.1,Segar,Pastikan Jeruk Purut sudah bersih dan kering sebelum dibekukan di freezer.
Sawi Sendok (Pakcoy),Sayuran Hijau,Pendingin,13,-1,Kedaluwarsa,Bungkus Sawi Sendok (Pakcoy) dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Paprika Hijau,Cabai & Paprika,Suhu Ruang,0,2.5,Segera,Simpan Paprika Hijau di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Cabai Gendot,Cabai & Paprika,Suhu Ruang,7,-0.1,Kedaluwarsa,Pastikan Cabai Gendot berada di area kering agar tidak cepat lembap dan busuk.
Selada Romaine,Sayuran Hijau,Pendingin,15,-2.6,Kedaluwarsa,Bungkus Selada Romaine dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Anggur Merah (Red Globe),Buah Iklim Sedang,Pembeku,11,44,Segar,Simpan Anggur Merah (Red Globe) dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Kiwi Gold,Buah Iklim Sedang,Pembeku,26,33.5,Segar,Simpan Kiwi Gold dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Jeruk Baby,Buah Sitrus,Pendingin,18,10.4,Segar,Bungkus Jeruk Baby dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Anggur Hijau Muscat,Buah Iklim Sedang,Pembeku,21,43.4,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Anggur Hijau Muscat tetap awet.
Paprika Hijau,Cabai & Paprika,Suhu Ruang,10,2.1,Segera,Letakkan Paprika Hijau di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Bit Merah,Sayuran Akar,Suhu Ruang,15,-2.1,Kedaluwarsa,Simpan Bit Merah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Bawang Putih Kating,Sayuran Akar,Pendingin,48,-6.9,Kedaluwarsa,Bungkus Bawang Putih Kating dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Lobak Putih,Sayuran Akar,Pendingin,44,-2.7,Kedaluwarsa,Simpan Lobak Putih di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Stroberi Korea,Buah Beri,Pendingin,0,9.1,Segar,Gunakan wadah tertutup saat menyimpan Stroberi Korea di rak kulkas.
Jeruk Bali,Buah Sitrus,Suhu Ruang,2,7.1,Segar,Pastikan Jeruk Bali berada di area kering agar tidak cepat lembap dan busuk.
Lemon Impor,Buah Sitrus,Suhu Ruang,13,2.7,Segera,Pastikan Lemon Impor berada di area kering agar tidak cepat lembap dan busuk.
Stroberi Korea,Buah Beri,Pembeku,3,53,Segar,Simpan Stroberi Korea dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Apel Gala,Buah Iklim Sedang,Suhu Ruang,0,2.1,Segera,Pastikan Apel Gala berada di area kering agar tidak cepat lembap dan busuk.
Pear Xiang Li,Buah Iklim Sedang,Pendingin,25,1.6,Segera,Simpan Pear Xiang Li di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Cabai Rawit Merah,Cabai & Paprika,Pembeku,104,-7.3,Kedaluwarsa,Simpan Cabai Rawit Merah dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Jeruk Mandarin,Buah Sitrus,Suhu Ruang,8,9.7,Segar,Letakkan Jeruk Mandarin di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Apel Granny Smith,Buah Iklim Sedang,Pendingin,1,25.2,Segar,Simpan Apel Granny Smith di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Paprika Hijau,Cabai & Paprika,Suhu Ruang,8,3.1,Segar,Simpan Paprika Hijau di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Lemon Impor,Buah Sitrus,Suhu Ruang,8,-0.8,Kedaluwarsa,Pastikan Lemon Impor berada di area kering agar tidak cepat lembap dan busuk.
Wortel Impor,Sayuran Akar,Suhu Ruang,8,6.4,Segar,Simpan Wortel Impor di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Blueberry Impor,Buah Beri,Pendingin,0,1.6,Segera,Gunakan wadah tertutup saat menyimpan Blueberry Impor di rak kulkas.
Brokoli Impor,Sayuran Hijau,Pendingin,5,9.6,Segar,Bungkus Brokoli Impor dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Jeruk Siam,Buah Sitrus,Suhu Ruang,2,4.5,Segar,Pastikan Jeruk Siam berada di area kering agar tidak cepat lembap dan busuk.
Kunyit Tua,Sayuran Akar,Pembeku,17,69.3,Segar,Pastikan Kunyit Tua sudah bersih dan kering sebelum dibekukan di freezer.
Pear Golden,Buah Iklim Sedang,Pembeku,7,61,Segar,Simpan Pear Golden dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Tomat Cherry,Buah Tropis,Suhu Ruang,1,0.1,Segera,Letakkan Tomat Cherry di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Pepaya California,Buah Tropis,Pembeku,35,17.3,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Pepaya California tetap awet.
Jeruk Mandarin,Buah Sitrus,Pembeku,42,47,Segar,Simpan Jeruk Mandarin dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Jeruk Purut,Buah Sitrus,Pendingin,3,28.3,Segar,Bungkus Jeruk Purut dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Lemon Lokal,Buah Sitrus,Pendingin,1,29,Segar,Bungkus Lemon Lokal dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Mulberry,Buah Beri,Pendingin,0,1.3,Segera,Gunakan wadah tertutup saat menyimpan Mulberry di rak kulkas.
Kangkung Cabut,Sayuran Hijau,Pendingin,6,5.3,Segar,Bungkus Kangkung Cabut dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Kailan,Sayuran Hijau,Suhu Ruang,1,0.6,Segera,Letakkan Kailan di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Paprika Kuning,Cabai & Paprika,Suhu Ruang,3,4.6,Segar,Pastikan Paprika Kuning berada di area kering agar tidak cepat lembap dan busuk.
Apel Malang (Manalagi),Buah Iklim Sedang,Pembeku,15,41.5,Segar,Simpan Apel Malang (Manalagi) dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Jeruk Nipis,Buah Sitrus,Pembeku,82,5.7,Segar,Simpan Jeruk Nipis dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Sawi Sendok (Pakcoy),Sayuran Hijau,Pendingin,0,4,Segar,Bungkus Sawi Sendok (Pakcoy) dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Mulberry,Buah Beri,Pembeku,23,33.5,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Mulberry tetap awet.
Nangka Matang,Buah Tropis,Pembeku,10,37.5,Segar,Pastikan Nangka Matang sudah bersih dan kering sebelum dibekukan di freezer.
Persik,Buah Iklim Sedang,Pembeku,58,2.6,Segera,Simpan Persik dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Bengkuang,Sayuran Akar,Suhu Ruang,13,0.2,Segera,Simpan Bengkuang di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Kucai,Sayuran Hijau,Suhu Ruang,2,2.6,Segera,Pastikan Kucai berada di area kering agar tidak cepat lembap dan busuk.
Manggis,Buah Tropis,Pendingin,3,16.7,Segar,Simpan Manggis di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Stroberi Korea,Buah Beri,Pendingin,4,2.9,Segera,Gunakan wadah tertutup saat menyimpan Stroberi Korea di rak kulkas.
Durian Montong,Buah Tropis,Pembeku,54,-5.7,Kedaluwarsa,Simpan Durian Montong dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Talas Bogor,Sayuran Akar,Suhu Ruang,11,2.9,Segera,Simpan Talas Bogor di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Jeruk Nipis,Buah Sitrus,Pembeku,60,29.1,Segar,Simpan Jeruk Nipis dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Cabai Keriting Hijau,Cabai & Paprika,Pembeku,53,34.4,Segar,Simpan Cabai Keriting Hijau dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Jeruk Siam,Buah Sitrus,Pembeku,78,9.6,Segar,Pastikan Jeruk Siam sudah bersih dan kering sebelum dibekukan di freezer.
Bit Merah,Sayuran Akar,Suhu Ruang,2,9.9,Segar,Simpan Bit Merah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Durian Montong,Buah Tropis,Suhu Ruang,0,1.4,Segera,Letakkan Durian Montong di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Kucai,Sayuran Hijau,Pendingin,14,0.5,Segera,Bungkus Kucai dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Stroberi Korea,Buah Beri,Pembeku,5,52.8,Segar,Simpan Stroberi Korea dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Bayam Jepang (Horenzo),Sayuran Hijau,Suhu Ruang,2,2.3,Segera,Letakkan Bayam Jepang (Horenzo) di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Bawang Putih Kating,Sayuran Akar,Pendingin,5,43.3,Segar,Simpan Bawang Putih Kating di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Cabai Merah Keriting,Cabai & Paprika,Pendingin,1,24.1,Segar,Gunakan wadah tertutup saat menyimpan Cabai Merah Keriting di rak kulkas.
Pear Golden,Buah Iklim Sedang,Suhu Ruang,5,2.2,Segera,Pastikan Pear Golden berada di area kering agar tidak cepat lembap dan busuk.
Kunyit Tua,Sayuran Akar,Pendingin,15,28.9,Segar,Gunakan wadah tertutup saat menyimpan Kunyit Tua di rak kulkas.
Pisang Ambon,Buah Tropis,Pendingin,4,14.7,Segar,Simpan Pisang Ambon di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Lemon Lokal,Buah Sitrus,Suhu Ruang,1,5.3,Segar,Simpan Lemon Lokal di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Jeruk Bali,Buah Sitrus,Suhu Ruang,2,4.1,Segar,Simpan Jeruk Bali di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Kiwi Hijau,Buah Iklim Sedang,Pembeku,30,27.3,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Kiwi Hijau tetap awet.
Paprika Merah,Cabai & Paprika,Pembeku,39,54.1,Segar,Pastikan Paprika Merah sudah bersih dan kering sebelum dibekukan di freezer.
Stroberi Lokal Ciwidey,Buah Beri,Pendingin,11,0.8,Segera,Simpan Stroberi Lokal Ciwidey di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Kiwi Hijau,Buah Iklim Sedang,Suhu Ruang,6,8.3,Segar,Letakkan Kiwi Hijau di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Apel Gala,Buah Iklim Sedang,Pendingin,12,6.3,Segar,Gunakan wadah tertutup saat menyimpan Apel Gala di rak kulkas.
Bawang Bombai Putih,Sayuran Akar,Pendingin,23,18,Segar,Simpan Bawang Bombai Putih di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Jeruk Purut,Buah Sitrus,Pendingin,8,25,Segar,Simpan Jeruk Purut di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Jeruk Medan,Buah Sitrus,Pembeku,63,22.7,Segar,Pastikan Jeruk Medan sudah bersih dan kering sebelum dibekukan di freezer.
Paprika Kuning,Cabai & Paprika,Pendingin,7,16.3,Segar,Gunakan wadah tertutup saat menyimpan Paprika Kuning di rak kulkas.
Apel Malang (Manalagi),Buah Iklim Sedang,Suhu Ruang,3,10.2,Segar,Letakkan Apel Malang (Manalagi) di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Kiwi Hijau,Buah Iklim Sedang,Suhu Ruang,10,-1.7,Kedaluwarsa,Simpan Kiwi Hijau di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Melon Cantaloupe,Buah Tropis,Pendingin,2,16.6,Segar,Bungkus Melon Cantaloupe dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Stroberi Lokal Ciwidey,Buah Beri,Pendingin,1,3.6,Segar,Bungkus Stroberi Lokal Ciwidey dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Apel Granny Smith,Buah Iklim Sedang,Suhu Ruang,3,4.2,Segar,Simpan Apel Granny Smith di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Arbei,Buah Beri,Suhu Ruang,0,1.9,Segera,Pastikan Arbei berada di area kering agar tidak cepat lembap dan busuk.
Lobak Putih,Sayuran Akar,Pendingin,48,-7,Kedaluwarsa,Simpan Lobak Putih di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Cabai Gendot,Cabai & Paprika,Suhu Ruang,15,-1.2,Kedaluwarsa,Letakkan Cabai Gendot di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Bawang Merah Probolinggo,Sayuran Akar,Suhu Ruang,6,5.3,Segar,Simpan Bawang Merah Probolinggo di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Manggis,Buah Tropis,Pendingin,7,4.3,Segar,Gunakan wadah tertutup saat menyimpan Manggis di rak kulkas.
Anggur Merah (Red Globe),Buah Iklim Sedang,Pendingin,2,16.2,Segar,Simpan Anggur Merah (Red Globe) di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Lemon Lokal,Buah Sitrus,Pendingin,9,27.7,Segar,Bungkus Lemon Lokal dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Jeruk Purut,Buah Sitrus,Suhu Ruang,1,4.4,Segar,Simpan Jeruk Purut di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Stroberi Lokal Ciwidey,Buah Beri,Pendingin,1,4.8,Segar,Simpan Stroberi Lokal Ciwidey di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Paprika Hijau,Cabai & Paprika,Pembeku,91,-2.8,Kedaluwarsa,Simpan Paprika Hijau dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Semangka Kuning,Buah Tropis,Suhu Ruang,3,9.9,Segar,Letakkan Semangka Kuning di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Selada Butterhead,Sayuran Hijau,Suhu Ruang,0,4.5,Segar,Simpan Selada Butterhead di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Bawang Putih Kating,Sayuran Akar,Pembeku,44,52.1,Segar,Pastikan Bawang Putih Kating sudah bersih dan kering sebelum dibekukan di freezer.
Nanas Subang,Buah Tropis,Suhu Ruang,5,-0.3,Kedaluwarsa,Letakkan Nanas Subang di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Kentang Dieng,Sayuran Akar,Pendingin,14,30.3,Segar,Simpan Kentang Dieng di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Stroberi Lokal Ciwidey,Buah Beri,Pendingin,1,0.7,Segera,Simpan Stroberi Lokal Ciwidey di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Cabai Keriting Hijau,Cabai & Paprika,Suhu Ruang,2,2.2,Segera,Pastikan Cabai Keriting Hijau berada di area kering agar tidak cepat lembap dan busuk.
Kailan,Sayuran Hijau,Pendingin,5,9.8,Segar,Bungkus Kailan dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Persik,Buah Iklim Sedang,Suhu Ruang,11,1.5,Segera,Letakkan Persik di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Daun Ketumbar,Sayuran Hijau,Pendingin,5,1.5,Segera,Bungkus Daun Ketumbar dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Cabai Merah Besar,Cabai & Paprika,Pendingin,1,18.8,Segar,Gunakan wadah tertutup saat menyimpan Cabai Merah Besar di rak kulkas.
Stroberi Korea,Buah Beri,Pendingin,7,2,Segera,Simpan Stroberi Korea di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Mangga Harum Manis,Buah Tropis,Pendingin,18,-3.9,Kedaluwarsa,Bungkus Mangga Harum Manis dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Stroberi Lokal Ciwidey,Buah Beri,Pembeku,51,12.8,Segar,Pastikan Stroberi Lokal Ciwidey sudah bersih dan kering sebelum dibekukan di freezer.
Apel Granny Smith,Buah Iklim Sedang,Pembeku,44,11.8,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Apel Granny Smith tetap awet.
Brokoli Lokal,Sayuran Hijau,Pendingin,5,-0.1,Kedaluwarsa,Bungkus Brokoli Lokal dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Jamur Tiram,Sayuran Hijau,Pendingin,0,4.2,Segar,Bungkus Jamur Tiram dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Kiwi Hijau,Buah Iklim Sedang,Suhu Ruang,14,-0.5,Kedaluwarsa,Pastikan Kiwi Hijau berada di area kering agar tidak cepat lembap dan busuk.
Nanas Subang,Buah Tropis,Suhu Ruang,1,6.5,Segar,Letakkan Nanas Subang di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Selada Butterhead,Sayuran Hijau,Pendingin,3,7.3,Segar,Bungkus Selada Butterhead dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Paprika Hijau,Cabai & Paprika,Pendingin,22,5.1,Segar,Gunakan wadah tertutup saat menyimpan Paprika Hijau di rak kulkas.
Bawang Putih Kating,Sayuran Akar,Suhu Ruang,0,14.5,Segar,Simpan Bawang Putih Kating di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Cabai Merah Besar,Cabai & Paprika,Pembeku,36,52.7,Segar,Pastikan Cabai Merah Besar sudah bersih dan kering sebelum dibekukan di freezer.
Jamur Kuping,Sayuran Hijau,Pendingin,6,7.4,Segar,Bungkus Jamur Kuping dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Jeruk Pontianak,Buah Sitrus,Suhu Ruang,2,5.9,Segar,Simpan Jeruk Pontianak di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Pisang Ambon,Buah Tropis,Pembeku,8,44,Segar,Simpan Pisang Ambon dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Durian Montong,Buah Tropis,Pendingin,9,4.7,Segar,Gunakan wadah tertutup saat menyimpan Durian Montong di rak kulkas.
Sawi Hijau,Sayuran Hijau,Pendingin,10,3.9,Segar,Bungkus Sawi Hijau dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Kembang Kol,Sayuran Hijau,Pendingin,9,4.9,Segar,Bungkus Kembang Kol dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Apel Granny Smith,Buah Iklim Sedang,Suhu Ruang,0,10.9,Segar,Simpan Apel Granny Smith di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Apel Malang (Manalagi),Buah Iklim Sedang,Pendingin,9,19.5,Segar,Bungkus Apel Malang (Manalagi) dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Cabai Gendot,Cabai & Paprika,Pendingin,1,19.2,Segar,Gunakan wadah tertutup saat menyimpan Cabai Gendot di rak kulkas.
Jeruk Keprok,Buah Sitrus,Pembeku,27,63.7,Segar,Pastikan Jeruk Keprok sudah bersih dan kering sebelum dibekukan di freezer.
Cabai Merah Keriting,Cabai & Paprika,Pendingin,5,20.8,Segar,Gunakan wadah tertutup saat menyimpan Cabai Merah Keriting di rak kulkas.
Mangga Manalagi,Buah Tropis,Pendingin,7,8.4,Segar,Gunakan wadah tertutup saat menyimpan Mangga Manalagi di rak kulkas.
Alpukat Aligator,Buah Tropis,Pendingin,13,4.5,Segar,Bungkus Alpukat Aligator dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Cabai Hijau Besar,Cabai & Paprika,Pendingin,14,5.3,Segar,Gunakan wadah tertutup saat menyimpan Cabai Hijau Besar di rak kulkas.
Jeruk Nipis,Buah Sitrus,Pembeku,35,58.7,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Jeruk Nipis tetap awet.
Raspberry Merah,Buah Beri,Pembeku,21,37.1,Segar,Simpan Raspberry Merah dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Bawang Merah Probolinggo,Sayuran Akar,Pendingin,63,-10.3,Kedaluwarsa,Gunakan wadah tertutup saat menyimpan Bawang Merah Probolinggo di rak kulkas.
Pisang Cavendish,Buah Tropis,Pendingin,1,16.5,Segar,Gunakan wadah tertutup saat menyimpan Pisang Cavendish di rak kulkas.
Persik,Buah Iklim Sedang,Suhu Ruang,0,5.7,Segar,Pastikan Persik berada di area kering agar tidak cepat lembap dan busuk.
Kol Ungu,Sayuran Hijau,Suhu Ruang,1,0.7,Segera,Letakkan Kol Ungu di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Jamur Tiram,Sayuran Hijau,Suhu Ruang,5,3.9,Segar,Simpan Jamur Tiram di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Anggur Hitam,Buah Iklim Sedang,Pembeku,78,-17.7,Kedaluwarsa,Simpan Anggur Hitam dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Selada Romaine,Sayuran Hijau,Pendingin,12,1.1,Segera,Bungkus Selada Romaine dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Jeruk Baby,Buah Sitrus,Pembeku,96,-2,Kedaluwarsa,Pastikan Jeruk Baby sudah bersih dan kering sebelum dibekukan di freezer.
Jeruk Keprok,Buah Sitrus,Pembeku,111,-24.2,Kedaluwarsa,Simpan Jeruk Keprok dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Cabai Keriting Hijau,Cabai & Paprika,Suhu Ruang,7,3.9,Segar,Pastikan Cabai Keriting Hijau berada di area kering agar tidak cepat lembap dan busuk.
Stroberi Lokal Ciwidey,Buah Beri,Pendingin,5,4.2,Segar,Gunakan wadah tertutup saat menyimpan Stroberi Lokal Ciwidey di rak kulkas.
Melon Cantaloupe,Buah Tropis,Suhu Ruang,7,5.1,Segar,Simpan Melon Cantaloupe di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Kangkung Cabut,Sayuran Hijau,Pendingin,2,4.2,Segar,Bungkus Kangkung Cabut dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Selada Butterhead,Sayuran Hijau,Pendingin,7,-0.1,Kedaluwarsa,Bungkus Selada Butterhead dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Jamur Tiram,Sayuran Hijau,Suhu Ruang,0,1.1,Segera,Simpan Jamur Tiram di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Kiwi Gold,Buah Iklim Sedang,Suhu Ruang,1,4.8,Segar,Letakkan Kiwi Gold di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Paprika Hijau,Cabai & Paprika,Pembeku,39,47.2,Segar,Pastikan Paprika Hijau sudah bersih dan kering sebelum dibekukan di freezer.
Jahe Gajah,Sayuran Akar,Pendingin,0,47.2,Segar,Gunakan wadah tertutup saat menyimpan Jahe Gajah di rak kulkas.
Bengkuang,Sayuran Akar,Suhu Ruang,0,20.9,Segar,Simpan Bengkuang di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Cabai Gendot,Cabai & Paprika,Suhu Ruang,0,6.3,Segar,Letakkan Cabai Gendot di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Jahe Gajah,Sayuran Akar,Suhu Ruang,19,2.9,Segera,Simpan Jahe Gajah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Wortel Impor,Sayuran Akar,Suhu Ruang,3,6.3,Segar,Simpan Wortel Impor di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Jeruk Siam,Buah Sitrus,Suhu Ruang,11,5.8,Segar,Pastikan Jeruk Siam berada di area kering agar tidak cepat lembap dan busuk.
Ubi Ungu,Sayuran Akar,Suhu Ruang,15,3.1,Segar,Simpan Ubi Ungu di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Jeruk Purut,Buah Sitrus,Pembeku,10,81.9,Segar,Pastikan Jeruk Purut sudah bersih dan kering sebelum dibekukan di freezer.
Jeruk Mandarin,Buah Sitrus,Pembeku,27,61.9,Segar,Pastikan Jeruk Mandarin sudah bersih dan kering sebelum dibekukan di freezer.
Kiwi Hijau,Buah Iklim Sedang,Pendingin,30,-5.6,Kedaluwarsa,Bungkus Kiwi Hijau dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Arbei,Buah Beri,Pendingin,1,0.6,Segera,Gunakan wadah tertutup saat menyimpan Arbei di rak kulkas.
